,brand,model,product_name,price,rating,shipping,url
74,ASUS,RTX 2060,ASUS ROG STRIX GeForce RTX 2060 SUPER ROG-STRIX-RTX2060S-O8G-EVO-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$655.99 –,,$99.99 Shipping,https://www.newegg.com/p/1FT-000Y-004W2?Description=rtx
75,EVGA,RTX 2060,"EVGA GeForce RTX 2060 XC Black Edition Gaming, 6GB GDDR6, HDB Fan Graphics Card 06G-P4-2061-KR",$599.99 –,,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2061-kr/p/1FT-001K-003K4?Description=rtx
76,EVGA,RTX 2060,EVGA 06G-P4-2068-KR Video Card GeForce RTX 2060 KO ULTRA GAMING 6GB GDDR6 192B,$494.83 –,,Free Shipping,https://www.newegg.com/evga-06g-p4-2068-kr/p/1FT-001K-00724?Description=rtx
77,ASUS,RTX 2060,ASUS Dual GeForce RTX 2060 DirectX 12 DUAL-RTX2060-O6G-EVO 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$505.41 (2 Offers)–,,$37.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-dual-rtx2060-o6g-evo/p/N82E16814126382?Description=rtx
78,ASUS,RTX 2060,Asus Phoenix PH-RTX2060-6G GeForce RTX 2060 Graphic Card - 6 GB GDDR6,$375.81 –,,Free Shipping,https://www.newegg.com/p/1FT-000Y-003P3?Description=rtx
79,PNY,RTX 2060,"PNY GeForce RTX 2060 6GB XLR8 Gaming Overclocked Edition Graphics Card, VCG20606DFPPB-O",$472.17 (2 Offers)–,,Free Shipping,https://www.newegg.com/pny-geforce-rtx-2060-vcg20606dfppb-o/p/N82E16814133777?Description=rtx
80,EVGA,RTX 2060,"EVGA GeForce RTX 2060 XC GAMING, 6GB GDDR6, HDB Fan Graphics Card 06G-P4-2063-KR",$499.99 –,,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2063-kr/p/1FT-001K-004T6?Description=rtx
81,ASUS,RTX 2060,ASUS TUF Gaming GeForce RTX 2060 OC Edition 6GB GDDR6 VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING),$425.99 –,,$99.99 Shipping,https://www.newegg.com/p/1FT-000Y-004Y8?Description=rtx
0,EVGA,RTX 2060,"EVGA GeForce RTX 2060 SUPER XC ULTRA GAMING, 08G-P4-3163-KR, 8GB GDDR6, Dual HDB Fans, RGB LED, Metal Backplate",$558.24 –,5,Free Shipping,https://www.newegg.com/evga-geforce-rtx-2060-super-08g-p4-3163-kr/p/N82E16814487458?Description=rtx
1,GIGABYTE,RTX 2060,GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SWF2OC-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$359.99 –,,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-super-gv-n206swf2oc-8gd/p/N82E16814932279?Description=rtx
2,EVGA,RTX 2060,"EVGA GeForce RTX 2060 SUPER SC ULTRA GAMING, 08G-P4-3067-KR, 8GB GDDR6, Dual HDB Fans, Metal Backplate",$419.99 –,5,$3.99 Shipping,https://www.newegg.com/evga-geforce-rtx-2060-super-08g-p4-3067-kr/p/N82E16814487460?Description=rtx
3,GIGABYTE,RTX 2060,GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060WF2OC-6GD R2 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$259.99 –,,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060wf2oc-6gd-r2/p/N82E16814932350?Description=rtx
4,GIGABYTE,RTX 2060,GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060IXOC-6GD rev. 2.0 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ITX Video Card,$269.99 –,,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-2060-gv-n2060ixoc-6gd-rev-2-0/p/N82E16814932349?Description=rtx
5,MSI,RTX 2060,MSI GeForce RTX 2060 GAMING Z 6GB GDDR6 Graphics Card,$479.53 –,,Free Shipping,https://www.newegg.com/msi-geforce-rtx-2060-rtx-2060-gaming-z-6g/p/1FT-0009-004M2?Description=rtx
6,EVGA,RTX 2060,EVGA 08G-P4-3163-KR  NVIDIA GeForce RTX 2060 Super XC ULTRA GAMING 8GB GDDR6 HDMI/3DisplayPort/USB Type-C PCI-Express Video Card w/ RGB LED,$558.24 –,,Free Shipping,https://www.newegg.com/p/0ZK-02U6-000F3?Description=rtx
