Brand ,CUDA Cores ,Chipset Manufacturer ,Cooler ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,GPU ,GPU Series ,HDMI ,Height (mm),Interface ,Length (mm),Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,OpenGL ,SLI Support ,Slot Width ,base model name,boost clock (MHz),core clock (MHz),memory clock (MHz),number of reviews,price,product_name,rating
MSI,2304,NVIDIA,Double Fans,1 x DL-DVI-D,1/21/2019,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,154.94,PCI Express 3.0 x16,309.118,7680 x 4320,256-Bit,8GB,GDDR6,NONE,OpenGL 4.5,"NVIDIA NVLink (SLI-Ready), 2-way",2.7 slots,RTX 2070,1620,1410,14.0,0.0,"1,099.99",MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,
MSI,2560,NVIDIA,Double Fans,1 x DL-DVI-D,10/25/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,NONE,154.94,PCI Express 3.0 x16,309.118,7680 x 4320,256-Bit,8GB,GDDR6,NONE,OpenGL 4.5,"NVIDIA NVLink (SLI-Ready), 2-way",2.7 slots,RTX 2070,1800,1410,14.0,0.0,824.99,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,
MSI,2560,NVIDIA,Triple Fans,1 x DL-DVI-D,9/9/2020,DirectX 12,3 x DisplayPort,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,139.954,PCI Express 3.0 x16,327.914,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 SUPER GAMING X TRIO,OpenGL 4.5,"NVIDIA NVLINK (SLI-Ready), 2-way",2.7 slots,RTX 2070,1800,1410,14.0,0.0,"1,049.99",MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER GAMING X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,
MSI,2560,NVIDIA,Triple Fans,1 x DL-DVI-D,10/19/2020,DirectX 12,3 x DisplayPort,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,NONE,139.954,PCI Express 3.0 x16,327.914,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 VENTUS 8G OC,OpenGL 4.5,"NVIDIA NVLINK (SLI-Ready), 2-way",2.7 slots,RTX 2070,0,1410,14.0,0.0,684.99,MSI GeForce RTX 2070 DirectX 12 GeForce RTX 2070 VENTUS 8G 256-Bit GDDR6 PCI Express x16 3.0 Video Card,
MSI,2304,NVIDIA,Double Fans,1 x DL-DVI-D,1/22/2019,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,154.94,PCI Express 3.0 x16,309.118,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 ARMOR 8G OC,OpenGL 4.5,"NVIDIA NVLINK (SLI-Ready), 2-way",2.7 slots,RTX 2070,1740,1410,14.0,0.0,"1,199.99",MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G OC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,
NONE,2304,NVIDIA,Double Fans,1 x DL-DVI-D,10/18/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,NONE,154.94,PCI Express 3.0 x16,309.118,7680 x 4320,256-Bit,8GB,GDDR6,NONE,OpenGL 4.5,"NVIDIA NVLINK (SLI-Ready), 2-way",2.7 slots,RTX 2070,0,1410,14.0,0.0,699.99,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 SUPER GAMING X TRIO 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,
PNY,2304,NVIDIA,Double Fans,1 x DL-DVI-D,6/24/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,NONE,154.94,PCI Express 3.0 x16,309.118,7680 x 4320,256-Bit,8GB,GDDR6,NONE,OpenGL 4.5,"NVIDIA NVLINK (SLI-Ready), 2-way",2.7 slots,RTX 2070,0,1410,14.0,0.0,885.96,"PNY GeForce RTX 2070 SUPER Mini - Graphics card - GF RTX 2070 SUPER - 8 GB GDDR6 - PCIe 3.0 x16 - HDMI, 3 x DisplayPort",
MSI,2304,NVIDIA,Double Fans,1 x DL-DVI-D,1/31/2019,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,128.016,PCI Express 3.0 x16,226.06,7680 x 4320,256-Bit,8GB,GDDR6,RTX 2070 Ventus 8G,OpenGL 4.5,"NVIDIA NVLINK (SLI-Ready), 2-way",Dual Slot,RTX 2070,1620,1410,14.0,0.0,999.99,MSI GeForce RTX 2070 DirectX 12 RTX 2070 Ventus 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,
EVGA,2560,NVIDIA,Double Fans,1 x DL-DVI-D,10/8/2019,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,1 x HDMI 2.0b,111.25200000000001,PCI Express 3.0,269.748,7680 x 4320,256-Bit,8GB,GDDR6,08G-P4-3173-KR,OpenGL 4.5,2-Way SLI,2.75 Slot,RTX 2070,1800,1410,14000.0,0.0,"1,199.99","EVGA GeForce RTX 2070 SUPER XC ULTRA GAMING, 08G-P4-3173-KR, 8GB GDDR6, Dual HDB Fans, RGB LED, Metal Backplate",
GIGABYTE,2560,NVIDIA,Double Fans,1 x DL-DVI-D,5/18/2020,DirectX 12,3 x DisplayPort 1.4,Yes,GeForce RTX 2070 SUPER,NVIDIA GeForce RTX 20 Series,NONE,111.25200000000001,PCI Express 3.0,269.748,7680 x 4320,256-Bit,8GB,GDDR6,GV-N2070WF2-8GD,OpenGL 4.5,2-Way SLI,2.75 Slot,RTX 2070,0,1620,14000.0,0.0,797.49,Gigabyte GeForce RTX 2070 8GB 256-Bit GDDR6 Graphics Card GV-N2070WF2-8GD,
