,brand,model,product_name,price,rating,shipping,url
0,ASUS,RTX 2080,"ASUS DUAL-RTX2080S-O8G-EVO-V2 - OC Edition - graphics card - GF RTX 2080 SUPER - 8 GB GDDR6 - PCIe 3.0 x16 - HDMI, 3 x D","$1,095.68 –",,$49.00 Shipping,https://www.newegg.com/p/1FT-000Y-004S6?Description=rtx
1,GIGABYTE,RTX 2080,GIGABYTE GeForce RTX 2080 SUPER DirectX 12 GV-N208SWF3-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$1,067.99 –",,$99.99 Shipping,https://www.newegg.com/p/1FT-000A-001C7?Description=rtx
2,GIGABYTE,RTX 2080,GIGABYTE GeForce RTX 2080 SUPER DirectX 12 GV-N208SGAMING-8GC Ver 2.0 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,"$1,047.99 –",,$99.99 Shipping,https://www.newegg.com/p/1FT-000A-001B6?Description=rtx
3,GIGABYTE,RTX 2080,"GIGABYTE GeForce RTX 2080 Ti GAMING OC 11G Graphics Card, 3 x WINDFORCE Fans, 11GB 352-Bit GDDR6, GV-N208TGAMING OC-11GC Video Card","$1,679.99 –",,$99.99 Shipping,https://www.newegg.com/p/1FT-000A-001B9?Description=rtx
4,ASUS,RTX 2080,ASUS ROG STRIX GeForce RTX 2080 SUPER ROG-STRIX-RTX2080S-O8G-GAMING 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,200.00 (2 Offers)–",,Free Shipping,https://www.newegg.com/asus-geforce-rtx-2080-super-rog-strix-rtx2080s-o8g-gaming/p/N82E16814126367?Description=rtx
5,ASUS,RTX 2080,ASUS Turbo GeForce RTX 2080 DirectX 12 TURBO-RTX2080-8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,150.00 –",,Free Shipping,https://www.newegg.com/asus-geforce-rtx-2080-turbo-rtx2080-8g-evo/p/N82E16814126324?Description=rtx
6,ASUS,RTX 2080,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-A11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,821.46 –",,$25.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2080-ti-rog-strix-rtx2080ti-a11g-gaming/p/N82E16814126393?Description=rtx
7,ASUS,RTX 2080,ASUS Dual GeForce RTX 2080 Ti DirectX 12 DUAL-RTX2080TI-11G 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,299.99 –",4,$75.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2080-ti-dual-rtx2080ti-11g/p/N82E16814126267?Description=rtx
8,ASUS,RTX 2080,ASUS GeForce RTX 2080 Advanced Overclocked 8G GDDR6 Dual-Fan Edition VR Ready HDMI DP USB Type-C Graphics Card (DUAL-RTX2080-A8G),$779.99 –,2,$75.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2080-dual-rtx2080-a8g/p/N82E16814126269?Description=rtx
9,ASUS,RTX 2080,ASUS ROG GeForce RTX 2080 Ti DirectX 12 ROG-MATRIX-RTX2080TI-P11G-GAMING 11GB 352-Bit GDDR6 HDCP Ready SLI Support Video Card,"$3,699.99 –",4,$165.00 Shipping,https://www.newegg.com/asus-geforce-rtx-2080-ti-rog-matrix-rtx2080ti-p11g-gaming/p/N82E16814126323?Description=rtx
