,brand,model,product_name,rating,shipping,url
78,PNY,GTX 1060,PNY NVIDIA GeForce GTX 1060 XLR8 GAMING OC 6GB GDDR5 DVI/HDMI/3DisplayPort,,Free Shipping,https://www.newegg.com/p/30U-0054-00007?Description=GTX
79,MSI,GTX 1060,MSI GeForce GTX 1060 6GT OC GDDR5 6GB Dual Fan OC Video Graphics Card,,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1060-gtx-1060-6gt-oc/p/1FT-0009-000Z4?Description=GTX
80,EVGA,GTX 1060,EVGA GeForce GTX 1060 FTW+ Gaming DirectX 12 03G-P4-6367-KR 3GB 192-Bit GDDR5 PCI Express 3.0 FTW+ GAMING ACX 3.0 Video Graphics Card,,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-ftw-gaming-03g-p4-6367-kr/p/1FT-001K-002G9?Description=GTX
81,EVGA,GTX 1060,EVGA GeForce GTX 1060 Graphic Card - 1.6GHz Core - 1.84GHz Boost Clock - 3 GB,,Free Shipping,https://www.newegg.com/p/1FT-001K-002J3?Description=GTX
82,ASUS,GTX 1060,ASUS GeForce GTX 1060 90YV09R0-M0NA00 6GB 192-Bit GDDR5 PCI Express 3.0 x16 Video Card,,Free Shipping,https://www.newegg.com/asus-geforce-gtx-1060-90yv09r0-m0na00/p/N82E16814126160?Description=GTX
0,EVGA,GTX 1060,"EVGA GeForce GTX 1060 SC GAMING 3GB, ACX 2.0 (Single Fan), 03G-P4-6162-KR, GDDR5, DX12 OSD Support (PXOC) Video Graphics Card",,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-sc-gaming-03g-p4-6162-kr/p/1FT-001K-002S6?Description=GTX
1,Corn,GTX 1060,"CORN GTX 1060 192-Bit 4GB GDDR5 Graphic Card with dual fans DirectX12 Video Card GPU PCI Express 3.0 DP/DVI-D/HDMI,Play for LOL,DOTA,COD,War Thunder etc.",,Free Shipping,https://www.newegg.com/p/1FT-0040-00020?Description=GTX
2,EVGA,GTX 1060,"EVGA GeForce GTX 1060 6GB SSC GAMING ACX 3.0 6GB, GDDR5, LED, DX12 OSD Support (PXOC), 06G-P4-6267-KR Video Graphics Card",,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-06g-p4-6267-kr/p/1FT-001K-002S1?Description=GTX
3,EVGA,GTX 1060,"EVGA GeForce GTX 1060 3GB FTW+ DT GAMING ACX 3.0, 03G-P4-6365-KR, 3GB GDDR5, LED, DX12 OSD Support (PXOC), 03G-P4-6365-KR Video Graphics Card",,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-03g-p4-6365-kr/p/1FT-001K-00185?Description=GTX
4,ASUS,GTX 1060,ASUS Expedition GeForce GTX 1060 EX-GTX1060-O6G 6GB 192-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,4,$45.00 Shipping,https://www.newegg.com/asus-geforce-gtx-1060-ex-gtx1060-o6g/p/N82E16814126301?Description=GTX
5,EVGA,GTX 1060,"EVGA GeForce GTX 1060 06G-P4-6267-RX 6GB SSC GAMING ACX 3.0, 6GB GDDR5, LED, DX12 OSD Support (PXOC) Graphics Card",4,Free Shipping,https://www.newegg.com/evga-geforce-gtx-1060-06g-p4-6267-rx/p/N82E16814487330?Description=GTX
