brand,model,product_name,price,rating,shipping,url,3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Mac Edition ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Shader Clock ,Slot Width ,Stream Processors ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers,Length (mm),Height (mm)
PNY,GTX 1080,PNY GeForce GTX 1080 Ti FE DirectX 12 VCGGTX1080T11PB-FE 11GB 352-Bit GDDR5X PCI Express 3.0 x16 Video Card,"$1,029.00 (1 Offers)–",5.0,,https://www.newegg.com/pny-geforce-gtx-1080-ti-fe-vcggtx1080t11pb-fe/p/N82E16814133648?Description=GTX,NONE,1582 MHz,PNY,3584,"10.50"" x 4.38""",NVIDIA,Single Fan,NONE,NONE,9-Apr-19,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,NONE,"""The GeForce GTX 1080 Ti is NVIDIAs new flagship gaming GPU, based on the NVIDIA Pascal architecture. The latest addition to the ultimate gaming platform, this card is packed with extreme gaming horsepower, next-gen 11 Gbps GDDR5X memory, and a massive 11GB frame buffer. #GameReady Discover unrivaled gaming, powered by NVIDIA Pascal - the worlds most advanced GPU architecture. GeForce GTX 1080 Ti features massive gaming horsepower with 3584 NVIDIA CUDA cores and 12 billion transistors. This means you can count on up to 3X the performance of previous-generation graphics cards, plus breakthrough gaming technologies and VR experiences.- This powerful new card includes 3584 NVIDIA CUDA cores and a massive 11GB frame buffer, delivering 35% faster performance than the GeForce GTX 1080. - Get up to 3X the performance and power efficiency of previous-generation NVIDIA Maxwell GPUs. - Revolutionary NVIDIA G-SYNC display technology gives you smoother frame delivery and reduced latency in even the most challenging games. - Enjoy the fastest, smoothest, most power-efficient gaming experiences with ultra-fast FinFET and high-speed GDDR5X technologies, plus support for DirectX 12 features. - Tap into advanced graphics technologies like 4K, HDR, and NVIDIA GameWorks for a more interactive and cinematic experience, as well as incredibly smooth gameplay. - NVIDIA VRWorks technologies give you low latency, plug-and-play compatibility, and amazing performance that lets you hear and feel every VR moment. - The GeForce GTX 1080 Ti is meticulously crafted to offer superior heat dissipation using an advanced vapor chamber and premium materials, so it runs as cool as it looks. - This is ultimate GeForce, backed by an unmatched heritage in high-performance PC gaming, unbeatable support, and the complete GeForce platform of breakthrough technologies. These include everything from GeForce Experience and Game Ready drivers to NVIDIA G-SYNC technology.""",NONE,GeForce GTX 1080 Ti FE,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,267 mm,NONE,352-Bit,11GB,GDDR5X,VCGGTX1080T11PB-FE,NONE,NONE,NONE,NONE,NONE,1 x 6-pin1 x 8-pin,NONE,NONE,NONE,NONE,Dual Slot,NONE,Power and Thermal: 250W,NONE,Yes,-3,266.7,111.25200000000001
EVGA,GTX 1080,EVGA GeForce GTX 1080 Ti DirectX 12 11G-P4-6796-K4 11GB 352-Bit GDDR5X PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,199.00 –",5.0,,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6796-k4/p/N82E16814487382?Description=GTX,NONE,1683 MHz,EVGA,3584,"11.80"" x 5.62""",NVIDIA,Triple Fans,1569 MHz,1 x Dual-Link DVI-D,14-Dec-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,11000 to 11016 MHz,"Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIOpenGL 4.5 SupportMax Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology",NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,300 mm,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6796-K4,4,OpenGL 4.5,"Windows 10 32/64-bit, Windows 8 32/64-bit, Windows 7 32/64-bit",NONE,NONE,2 x 8-Pin\xa0or 2 x 6+2-Pin,NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,"600W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",250W,Yes,-2,299.72,142.748
EVGA,GTX 1080,"EVGA GeForce GTX 1080 Ti FTW3 ELITE GAMING WHITE, 11G-P4-6796-K1, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M","$1,259.00 –",5.0,,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6796-k1/p/N82E16814487397?Description=GTX,NONE,1683 MHz,EVGA,3584,"11.80"" x 5.62""",NVIDIA,Triple Fans,1569 MHz,1 x Dual-Link DVI-D,14-Dec-18,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,11016 MHz,"9 additional temp sensors to monitor Memory and VRMAsynchronous FansBuilt for EVGA Precision XOCEVGA iCX TechnologyGPU / Memory / PWM Thermal StatusIndicator LEDsHDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIMax Digital Resolution - 7680x4320Microsoft DirectX 12 APINew vented heatsink fin design and pin fins for optimized airflowNVIDIA AnselNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0NVIDIA SLI w/ HB Bridge SupportOpenGL 4.6 SupportRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationSafety fuse to protect components from damage due to improper installation or other component failuresSimultaneous Multi-ProjectionVR ReadyVulkan API",NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,300 mm,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6796-K1,4,OpenGL 4.6,NONE,NONE,NONE,NONE,NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,"600-Watt or greater power supply****PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slotTwo available 8-pin or 6+2-pin PCI-E power donglesWindows 10 32/64-bit, Windows 8 32/64-bit, Windows 7 32/64-bit****Minimum system power requirement based on a PC configured with an Intel Core i7 3.2 GHz processor",250W,Yes,-3,299.72,142.748
GIGABYTE,GTX 1080,"GIGABYTE GeForce GTX 1080 AORUS 8GB DirectX 12 GV-N1080AORUS-8GD R2 256-Bit GDDR5X PCI Express 3.0 x16 Video Card, GV-N1080AORUS-8GD R2",$830.00 –,4.0,,https://www.newegg.com/gigabyte-geforce-gtx-1080-gv-n1080aorus-8gd-r2/p/N82E16814125969?Description=GTX,NONE,1873 MHz in OC Mode1847 MHz in Gaming Mode,GIGABYTE,NONE,"11.30"" x 5.51""",NVIDIA,Triple Fans,1733 MHz in OC Mode1708 MHz in Gaming Mode,1 x Dual-link DVI-D,29-May-19,DirectX 12,3 x DisplayPort,Yes,NONE,10010 MHz,Powered by GeForce GTX 1080WINDFORCE Stack 3 x 100mm fans cooling systemAORUS VR Link provides the best VR experienceAdvanced Copper Back Plate CoolingRGB fusion - 16.7M customizable color lightingStylish Metal Back PlateTitan X-grade Chokes and Capacitors for Extreme DurabilityIntuitive AORUS Graphics Engine,ATX,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,NONE,3 x HDMI,PCI Express 3.0 x16,NONE,287 mm,7680 x 4320,256-Bit,8GB,GDDR5X,GV-N1080AORUS-8GD R2,4,OpenGL 4.5,NONE,NONE,NONE,2 x 8-Pin,NONE,NONE,AORUS,NONE,2.5-slot,2560 Stream Processors,Recommended PSU: 500W,180W,Yes,-22,287.02,139.954
EVGA,GTX 1080,"EVGA GeForce GTX 1080 Ti Black Edition GAMING, 11G-P4-6391-KR, 11GB GDDR5X, iCX Cooler & LED","$1,029.00 –",4.0,,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6391-kr/p/N82E16814487375?Description=GTX,NONE,1582 MHz,EVGA,3584,"10.50"" x 4.38""",NVIDIA,Double Fans,1480 MHz,1 x Dual-Link DVI,5-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,11000 MHz,"""EVGA Geforce GTX 1080 Ti Gaming is the ultimate video card.- Experience next-gen performance with the new NVIDIA Pascal Architecture.- Built with 11Gbps GDDR5X memory and massive 11GB frame buffer for unrivaled performance.- Delivers best VR performance, the lowest latency, and plug-and-play compatibility with leading headsets.- Perfect your cards performance with the included FREE EVGA Precision XOC overclocking tool.- 24/7 U.S. Based Technical Support and Warranty Services.""",NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0,NONE,267 mm,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6391-KR,4,OpenGL 4.5,"Windows 10 32/64 bit, Windows 8 32/64 bit, Windows 7 32/64 bit",NONE,NONE,1 x 8-Pin\xa0& 1 x 6-Pin,NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,"600W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",250W,Yes,-13,266.7,111.25200000000001
ASUS,GTX 1080,ASUS ROG Strix GeForce GTX 1080 8GB 11Gbps OC Edition VR Ready HDMI DP DVI Gaming Graphics Card (ROG-STRIX-GTX1080-O8G-11GPBS),$799.00 –,4.0,,https://www.newegg.com/asus-geforce-gtx-1080-strix-gtx1080-o8g-11gbps/p/N82E16814126201?Description=GTX,NONE,1860 MHz (OC Mode)1835 MHz (Gaming Mode),ASUS,2560,"11.73"" x 5.28""",NVIDIA,Triple Fans,1721 MHz (OC Mode)1695 MHz (Gaming Mode),1 x DVI-D,9-Nov-18,NONE,2 x DisplayPort 1.4,Yes,NONE,11100 MHz (OC Mode)11010 MHz (Gaming Mode),ROG Strix GeForce GTX 1080 OC edition 8GB 11Gbps GDDR5X with ASUS Aura Sync for best VR and 4K gaming- MaxContact Technology and 2.5-Slot Width for the coolest and quietest gaming performance.- Patented Wing-Blade Fan Design with IP5X dust-resistance for longer fan lifespan.- NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.- ASUS FanConnect II for optimal cooling performance.- Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.- ASUS Aura Sync for perfect RGB LED synchronization.- VR-friendly HDMI ports let you enjoy VR experiences anytime without having to swap cables.- GPU Tweak II with XSplit Gamecaster provides intuitive performance tweaking and real-time streaming.,NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,Yes,2 x HDMI 2.0,PCI Express 3.0,NONE,298 mm,7680 x 4320,256-Bit,8GB,GDDR5X,STRIX-GTX1080-O8G-11GBPS,NONE,OpenGL 4.5,NONE,NONE,Accessories:1 x ROG Velcro Hook & Loop1 x Power cable,1 x 6-pin1 x 8-pin,NONE,NONE,ROG,NONE,2.5-Slot,NONE,NONE,180W,Yes,-21,297.942,134.112
EVGA,GTX 1080,EVGA GeForce GTX 1080 Ti FTW3 DT DirectX 12 11G-P4-6694-KR 11GB 352-Bit GDDR5X PCI Express 3.0 HDCP Ready SLI Support Video Card,"$1,029.00 –",4.0,,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6694-kr/p/N82E16814487381?Description=GTX,NONE,1582 MHz,EVGA,3584,"11.80"" x 5.62""",NVIDIA,Triple Fans,1480 MHz,1 x Dual-Link DVI-D,30-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,11016 MHz,"Dual BIOS SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIOpenGL 4.6 SupportMax Digital Resolution - 7680x4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology",NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,300 mm,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6694-KR,4,OpenGL 4.6,"Windows 10 32/64-bit, Windows 8 32/64-bit, Windows 7 32/64-bit",NONE,NONE,Two available 8-pin or 6+2-pin PCI-E power dongles,NONE,SLI Ready,NONE,NONE,Dual Slot,NONE,"600W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.Total Power Draw: 280W.",250W,Yes,-16,299.72,142.748
MSI,GTX 1080,MSI GEFORCE GTX 1080 TI AERO 11G OC  NVIDIA GeForce GTX 1080 Ti AERO 11G OC 11GB GDDR5X HDMI/3DisplayPort PCI-Express Video Card,"$1,029.00 –",,,https://www.newegg.com/p/0RN-009H-00013?Description=GTX,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,15-Nov-18,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0
PNY,GTX 1080,PNY GeForce GTX 1080 DirectX 12 VCGGTX10808XGPB-OC2 8GB 256-Bit GDDR5X PCI Express 3.0 x16 SLI Support Video Card,$799.00 (1 Offers)–,4.0,,https://www.newegg.com/pny-geforce-gtx-1080-vcggtx10808xgpb-oc2/p/N82E16814133732?Description=GTX,NONE,1759 MHz,PNY,2560,"10.50"" x 4.40""",NVIDIA,Double Fans,1620 MHz,1 x DL-DVI-D,22-Feb-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,NONE,Factory OverclockedPNY Silent XLR8 Triple CoolerSimultaneous Multi-ProjectionVR ReadyNVIDIA Ansel SupportNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 SupportVulkan API SupportOpen GL 4.5 SupportPCI Express 3.0Max Digital Resolution - 7680x4320 @ 60Hz*3 x DisplayPort 1.4HDMI 2.0bDL-DVI* 7680x4320 @ 60Hz RGB8-bit with dual DisplayPort connectors or 7680x4320 @ 60Hz YUV420 8-bit with DisplayPort 1.3 connector.,NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0b,PCI Express 3.0 x16,NONE,267 mm,7680 x 4320,256-Bit,8GB,GDDR5X,VCGGTX10808XGPB-OC2,NONE,OpenGL 4.5,"Microsoft Windows 10, Windows 8, Windows 7, Linux, FreeBSDx86",NONE,NONE,8-Pin,NONE,SLI HB Bridge Supported,NONE,NONE,Dual Slot,NONE,TDP: 180WMinimum System Requirements:PCI Express-compliant motherboard with one double-width x16 graphics slotOne 8-pin PCI Express supplementary power connectorMinimum 500W or greater system power supply*300MB of available hard-disk space2GB system memory (4GB or higher recommended)Internet connection*** Recommendation is made based on PC configured with an Intel Core i7 3.2 GHz processor. Pre-built system may require less power depending on system configuration.** Graphics Card driver is not included in the box; GeForce Experience will download the latest GeForce driver from the Internet after install.,180W,Yes,-6,266.7,111.76
EVGA,GTX 1080,EVGA GeForce GTX 1080 Ti DirectX 12 11G-P4-6798-KR 11GB 352-Bit GDDR5X PCI Express 3.0 HDCP Ready SLI Support Video Card - K|NGP|N GAMING,"$1,490.00 –",4.0,,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6798-kr/p/N82E16814487380?Description=GTX,NONE,1695 MHz,EVGA,3584,"11.80"" x 5.62""",NVIDIA,Triple Fans,1582 MHz,1 x Dual-Link DVI-D,19-Nov-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,11016 MHz,"Simultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA SLI w/ HB Bridge SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Microsoft DirectX 12 APIVulkan APIOpenGL 4.5 SupportMax Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCAsynchronous Fans9 additional temp sensors to monitor Memory and VRMGPU / Memory / PWM Thermal Status Indicator LEDsNew vented heatsink fin design and pin fins for optimized airflowSafety fuse to protect components from damage due to improper installation or other component failuresRedesigned cooling with L-shaped contact fins to improve contact surface area for better heat dissipationEVGA iCX Technology",NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,300 mm,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6798-KR,4,OpenGL 4.5,"Windows 10 32/64-bit, Windows 8 32/64-bit, Windows 7 32/64-bit",NONE,NONE,Two available 8-pin or 6+2-pin PCI-E power dongles,NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,"600W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",250W,Yes,-8,299.72,142.748
MSI,GTX 1080,MSI GeForce GTX 1080 DirectX 12 GTX 1080 DUKE 8G OC 8GB 256-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support Video Cards,$799.00 –,,,https://www.newegg.com/msi-geforce-gtx-1080-gtx-1080-duke-8g-oc/p/1FT-007W-00001?Description=GTX,NONE,1847 MHz,MSI,NONE,NONE,NVIDIA,Triple Fans,1708 MHz,1 x DVI,11-Mar-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10108 MHz,NONE,NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,NONE,7680 x 4320,256-Bit,8GB,GDDR5X,GTX 1080 DUKE 8G OC,4,OpenGL 4.5,Power consumption: 180W Recommended PSU: 500W,NONE,NONE,6-Pin / 8-Pin,NONE,2-Way SLI,GTX 1080 DUKE 8G OC,NONE,NONE,NONE,NONE,180W,Yes,0 reviews,0.0,0.0
MSI,GTX 1080,MSI GTX 1080 Ti Founders Edition Graphic Cards GTX 1080 Ti Founders Edition,"$1,029.00 (1 Offers)–",,,https://www.newegg.com/p/1B4-00PP-003A2?Description=GTX,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,21-Feb-20,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0 reviews,0.0,0.0
MSI,GTX 1080,MSI GAMING GeFroce GTX 1080 Ti 11GB GDRR5X DirectX 12 352-bit VR Ready Graphics Card (GTX 1080 TI GAMING X 11G),"$1,029.00 –",,,https://www.newegg.com/msi-geforce-gtx-1080-ti-gaming-x-11g/p/1FT-0009-001D3?Description=GTX,NONE,1683 MHz (OC Mode) 1657 MHz (Gaming Mode) 1582 MHz (Silent Mode),MSI,3584,NONE,NVIDIA,Double Fans,1569 MHz (OC Mode) 1544 MHz (Gaming Mode) 1480 MHz (Silent Mode),1 x DVI,21-Dec-18,DirectX 12,2 x DisplayPort 1.4,NONE,NONE,11124 MHz (OC Mode) 11016 MHz (Gaming / Silent ),"The Ultimate GAMING: TWIN FROZR VI - Smooth Heat Pipes: Squared shape at bottom maximize heat transfer from the copper base plate. - Zero Frozr: Stopping the fan in low-load situations, keeping a noise-free environment. - Airflow Control: Technology Deflectors thrusts air onto heat pipes for lower temperatures and better gaming.  TORX FAN 2.0: Supremely silent - Dispersion fan blade: Steeper curved blade accelerating the airflow. - Traditional fan blade: Provides steady airflow to massive heat sink below. - Double ball bearing: Strong and lasting core for years of smooth gaming.  Gaming App - Instant Performance Gain: Unlock extra performance or keep your card silent during light use in one click. - LED control: Full control on your RGB GAMING LEDs to set the mood.  2.5-Slot Width",NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,NONE,2 x HDMI 2.0,PCI Express 3.0 x16,NONE,NONE,NONE,352-Bit,11GB,GDDR5X,GeForce GTX 1080 Ti GAMING X 11G,2,OpenGL 4.5,NONE,NONE,NONE,NONE,NONE,NONE,GeForce GTX 1080 Ti GAMING X 11G,NONE,NONE,NONE,Power consumption: 250W Recommended PSU: 600W,250W,NONE,0 reviews,0.0,0.0
MSI,GTX 1080,MSI Gaming GeForce GTX 1080 8GB GDDR5X SLI DirectX 12 VR Ready Graphics Card (GTX 1080 GAMING X 8G),$799.00 –,,,https://www.newegg.com/msi-geforce-gtx-1080-gtx-1080-gaming-x-8g/p/1FT-0009-001D4?Description=GTX,NONE,1847 MHz (OC Mode) 1822 MHz (Gaming Mode) 1733 MHz (Silent Mode),MSI,2560,NONE,NVIDIA,Double Fans,1708 MHz (OC Mode) 1683 MHz (Gaming Mode) 1607 MHz (Silent Mode),NONE,21-Dec-18,DirectX 12,3 x DisplayPort 1.4,NONE,NONE,10108 MHz (OC Mode) 10010 MHz (Gaming Mode) 10010 MHz (Silent Mode),"The Ultimate GAMING: TWIN FROZR VI  - Smooth Heat Pipes Squared shape at bottommaximize heat transfer from the copper base plate. - Zero Frozr Stopping the fan in low-load situations, keeping a noise-free environment. - Airflow Control Technology Deflectors thrusts air onto heat pipes for lower temperatures and better gaming.  TORX FAN 2.0: Supremely silent  - Dispersion fan blade Steeper curved blade accelerating the airflow. - Traditional fan blade Provides steady airflow to massive heatsink below. - Double ball bearing Strong and lasting core for years of smooth gaming.  Gaming App  - Instant Performance Gain Unlock extra performance or keep your card silent during light use in one click. - LED control Full control on your RGB GAMING LEDs to set the mood. - Mobile APP Control your graphics card from your phone.",NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,NONE,7680 x 4320,256-Bit,8GB,GDDR5X,GTX 1080 GAMING X 8G,4,OpenGL 4.5,NONE,GTX 1080 GAMING X 8G,NONE,NONE,NONE,2-Way SLI,NONE,NONE,NONE,NONE,Power consumption: 180W Recommended Power Supply: 500W,180W,Yes,0 reviews,0.0,0.0
MSI,GTX 1080,MSI GeForce GTX 1080 DirectX 12 GTX 1080 GAMING X 8G 8GB 256-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,$799.00 –,,4.95,https://www.newegg.com/msi-geforce-gtx-1080-gtx-1080-gaming-x-8g/p/1FT-007W-00002?Description=GTX,NONE,1847 MHz (OC Mode) 1822 MHz (Gaming Mode) 1733 MHz (Silent Mode),MSI,2560,NONE,NVIDIA,Double Fans,1708 MHz (OC Mode) 1683 MHz (Gaming Mode) 1607 MHz (Silent Mode),1 x DVI,20-Dec-18,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,10108 MHz (OC Mode) 10010 MHz (Gaming Mode) 10010 MHz (Silent Mode),"The Ultimate GAMING: TWIN FROZR VI  - Smooth Heat Pipes Squared shape at bottommaximize heat transfer from the copper base plate. - Zero Frozr Stopping the fan in low-load situations, keeping a noise-free environment. - Airflow Control Technology Deflectors thrusts air onto heat pipes for lower temperatures and better gaming.  TORX FAN 2.0: Supremely silent  - Dispersion fan blade Steeper curved blade accelerating the airflow. - Traditional fan blade Provides steady airflow to massive heatsink below. - Double ball bearing Strong and lasting core for years of smooth gaming.  Gaming App  - Instant Performance Gain Unlock extra performance or keep your card silent during light use in one click. - LED control Full control on your RGB GAMING LEDs to set the mood. - Mobile APP Control your graphics card from your phone.",NONE,GeForce GTX 1080,NVIDIA GeForce GTX 10 Series,NONE,1 x HDMI 2.0,PCI Express 3.0 x16,NONE,NONE,7680 x 4320,256-Bit,8GB,GDDR5X,GTX 1080 GAMING X 8G,4,OpenGL 4.5,NONE,NONE,NONE,"1 x 6-pin, 1 x 8-pin",NONE,2-Way SLI,NONE,NONE,NONE,NONE,Power consumption: 180W Recommended Power Supply: 500W,180W,Yes,0 reviews,0.0,0.0
EVGA,GTX 1080,"EVGA GeForce GTX 1080 Ti FTW3 ELITE GAMING BLACK, 11G-P4-6796-K2, 11GB GDDR5X, iCX Technology - 9 Thermal Sensors & RGB LED G/P/M","$1,150.00 –",4.0,,https://www.newegg.com/evga-geforce-gtx-1080-ti-11g-p4-6796-k2/p/N82E16814487398?Description=GTX,NONE,1683 MHz,EVGA,3584,"11.80"" x 5.62""",NVIDIA,Triple Fans,1569 MHz,1 x Dual-Link DVI,17-Jan-19,DirectX 12,3 x DisplayPort 1.4,Yes,NONE,11016 MHz,"""EVGAs first ever 3 fan design for optimal cooling.With EVGAs new iCX technology, users can have a better understanding of their cards operation. This includes temperature monitoring on key components (not just GPU), interaction with other devices and better cooling with asynchronous fan control providing better overclocking capabilities.Peace of Mind Gaming- 9 additional temp sensors to monitor memory and PWN- Asynchronous Fan Control improves cooling efficiency while reducing fan noise- Full control with EVGA Precision XOC- Safety fuse to protect components from damage due to improper installation or other component failures- Redesigned cooling with L-shaped contact fins to imrpove contact surface area for better heat dissipation- New vented heatsink fin design and pin fins for optimized airflow- GPU / Memory / PWM Thermal Status Indicator LEDs- Adjustable RGB LED""",NONE,GeForce GTX 1080 Ti,NVIDIA GeForce GTX 10 Series,Yes,1 x HDMI 2.0b,PCI Express 3.0,NONE,300 mm,7680 x 4320,352-Bit,11GB,GDDR5X,11G-P4-6796-K2,4,OpenGL 4.5,"Windows 10 32/64-bit, Windows 8 32/64-bit, Windows 7 32/64-bit",NONE,NONE,2 x 8-Pin\xa0or 2 x 6+2-Pin,NONE,2-Way SLI,NONE,NONE,Dual Slot,NONE,"600W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.",250W,Yes,-7,299.72,142.748
