Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Package Contents ,PixelPipelines ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
['OC Mode: 1809 MHzGaming Mode (Default): 1785 MHz'],['ASUS'],['1280'],"['9.45"" x 5.16""']",['NVIDIA'],['Double Fans'],['OC Mode: 1594 MHzGaming Mode (Default): 1569 MHz'],['1 x DVI-D'],"['October 07, 2020']",,['2 x DisplayPort 1.4'],,,['8008 MHz'],"['1809 MHz Boost Clock in OC mode for brilliant eSports gaming.Dual-Ball Bearing Fan runs smoother by reducing friction, further improving 2X longer card lifespan and cooling efficiency.Industry Only Auto-Extreme Technology with Super Alloy Power II delivers premium quality and best reliability.144-Hour Test Passed and Top Games Tested for best compatibility.GPU Tweak II with Xsplit Gamecaster provides intuitive performance tweaking and instant gameplay streaming.NVIDIA ANSEL for a revolutionary new way to capture in-game screenshots.NVIDIA GameWorks provides an interactive and cinematic experience, as well as incredibly smooth gameplay.']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['240 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['EX-GTX1060-O6G'],['4'],['OpenGL 4.5'],,,['Accessories:1 x CD1 x Quick Guide'],,['6-Pin'],['No'],['Expedition'],['Dual Slot'],['Recommended PSU: 500W'],['120W'],['Yes'],0 reviews
['1835 MHz'],['EVGA'],['1280'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1607 MHz'],['1 x Dual-Link DVI-D'],"['May 21, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],"['NVIDIA GameStream TechnologyNVIDIA G-SYNC ReadyOpenGL 4.5 SupportSimultaneous Multi-ProjectionVR ReadyNVIDIA AnselNVIDIA GPU Boost 3.0Microsoft DirectX 12Vulkan APIPCI Express 3.0Max Digital Resolution - 7680 x 4320HDMI 2.0b, DisplayPort 1.4 and Dual-Link DVIBuilt for EVGA Precision XOCEVGA ACX 3.0 Cooling']",,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['06G-P4-6267-RX'],['4'],['OpenGL 4.5'],"['Windows 10 32/64bit, Windows 8 32/64bit, Windows 7 32/64bit']",,,,['8-Pin'],,,['Dual Slot'],"['400W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['120W'],['Yes'],(11)
['1708 MHz'],['ZOTAC'],['1280'],"['6.85"" x 4.38""']",['NVIDIA'],['Single Fan'],['1506 MHz'],['DL-DVI-D'],"['August 07, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8 GHz'],,,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['174 mm'],,['192-Bit'],['6GB'],['GDDR5'],['ZT-P10600A-10L'],['4'],['OpenGL 4.5'],['Windows 10 / 8 / 7'],,,,['6-Pin'],,,['Dual Slot'],['Recommended Power Supply: 400W'],['120W'],,(8)
,['MSI'],,,,,,,"['January 31, 2020']",,,,,,,,,,,,,,,,,,['GeForce GTX 1060 3GT'],,,,,,,,,,,,,,0 reviews
,['ASUS'],,,,,,,"['September 03, 2020']",,,,,,,,,,,,,,,,['3GB'],,['DUALGTX1060O3G'],,,,,,,,,,,,,,0 reviews
['1708 MHz'],['EVGA'],['1280'],"['10.50"" x 4.38""']",['NVIDIA'],['Double Fans'],['1506 MHz'],['1 x DVI'],"['September 16, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8008 MHz'],,,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['192-Bit'],['6GB'],['GDDR5'],['06G-P4-6265-KR'],['4'],['OpenGL 4.6'],['Windows 10 32/64-bit Windows 8 32/64-bit Windows 7 32/64-bit'],['GTX 1060 SSC DT ACX 3.0'],,,['8-Pin'],,,['Dual Slot'],['Minimum of a 400-Watt power supply. One available 8-pin PCI-E power connector. Total Power Draw: 120 Watts'],['120W'],['Yes'],0 reviews
['1797 MHz'],['PNY'],['1280'],"['9.17"" x 5.51""']",['NVIDIA'],['Double Fans'],['1582 MHz'],['1 x DL-DVI-D'],"['June 26, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],['Yes'],,['8 GBPS'],['Factory OverclockedPNY Silent XLR8 Twin CoolerSimultaneous Multi-ProjectionNVIDIA Ansel SupportNVIDIA G-SYNCNVIDIA GameStreamNVIDIA GPU Boost 3.0Vulkan API SupportMax Digital Resolution - 7680 x 4320 @ 60 Hz** 7680 x 4320 @ 60 Hz RGB 8-bit with dual DisplayPort connectors or 7680 x 4320 @ 60 Hz YUV420 8-bit with DisplayPort 1.3 connector.'],,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['233 mm'],['7680 x 4320 @ 60 HZ (Digital)'],['192-Bit'],['6GB'],['GDDR5'],['RKMX1060N3H6ES2KTM'],['Yes'],['OpenGL 4.5'],,,,,,['No'],,['Dual Slot'],"['TDP: 120WPCI Express-compliant motherboard with one double-width x16 graphics slotOne 6-pin PCI Express supplementary power connectorMinimum 400W or greater system power supply*300MB of available hard-disk space2GB system memory (4GB or higher recommended)Microsoft Windows 10, Windows 8, Windows 7, Linux, FreeBSDx86Internet connection*** Recommendation is made based on PC configured with an Intel Core i7 3.2 GHz processor. Pre-built system may require less power depending on system configuration.** Graphics Card driver is not included in the box; GeForce Experience will download the latest GeForce driver from the Internet after install.']",['120W'],['Yes'],0 reviews
,['PNY'],,,['NVIDIA'],['Double Fans'],,,"['June 26, 2020']",,,,,,,,['GeForce GTX 1060'],['NVIDIA GeForce GTX 10 Series'],,,,,,,['6GB'],,,,,,,,,,,,,,['120W'],,0 reviews
,,,,,,,,"['June 23, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['EVGA'],,,,['Single Fan'],,,"['September 21, 2020']",,,,,,,,,,,,,,,,['3GB'],,,,,,,,,,,,,,,,0 reviews
,,,,,,,,"['December 04, 2018']",,,,,,,,,['NVIDIA GeForce GTX 10 Series'],,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['EVGA'],,,,,,,"['December 06, 2019']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['Manli'],,,,,,,"['September 03, 2020']",,,,,,,,,,,,,,,,['6GB'],,['MNGTX1060G5REHDPPP'],,,,,,,,,,,,,,0 reviews
,['PNY'],,,,,,,"['February 06, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['EVGA'],,,,,,,"['September 03, 2020']",,,,,,,,,,,,,,,,['6GB'],,['06GP46161KR'],,,,,,,,,,,,,,0 reviews
,,,,,,,,"['August 04, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
